departamento,monto,empresa_1,empresa_2,empresa_3,empresa_4,empresa_5
HUANUCO,"545,085.88",20542425653,20604215502,20603064101,,
HUANUCO,"2,178,352.48",20528950494,,,,
HUANUCO,"1,147,690.42",20528905197,20489613558,,,
HUANUCO,"14,109,032.20",20489532981,20573078897,,,
HUANUCO,"13,376,479.12",20542542021,20489532981,,,
HUANUCO,"37,037,283.23",20393353105,20393081776,,,
HUANUCO,"1,049,682.35",20528905197,20489613558,,,
HUANUCO,"897,345.57",20489537274,20604740968,,,
HUANUCO,"2,074,151.58",20601754259,20600369319,,,
HUANUCO,"57,372.11",20510591829,,,,
HUANUCO,"1,632,493.88",20529014211,20528905197,,,
HUANUCO,"201,611.13",10805536867,20601629641,20573177879,,
HUANUCO,"688,909.65",20602889191,10805536867,,,
HUANUCO,"8,480,481.28",20531065019,20530837816,20571184151,,
HUANUCO,"2,301,907.66",20573263104,20489532981,,,
HUANUCO,"242,063.04",20529161353,,,,
HUANUCO,"111,352.42",20510591829,,,,
HUANUCO,"163,137.69",20573247249,,,,
HUANUCO,"165,128.70",10805536867,20602102727,,,
HUANUCO,"545,085.88",20489466741,,,,
HUANUCO,"2,430,787.33",20489747244,20605163841,,,
HUANUCO,"2,439,088.98",20601556791,20489747244,,,
HUANUCO,"648,510.54",20542559854,,,,
HUANUCO,"89,438.80",20601629641,10805536867,,,
HUANUCO,"777,573.04",10805536867,,,,
HUANUCO,"62,090.70",20602102727,10805536867,,,
HUANUCO,"504,998.64",10805536867,,,,
HUANUCO,"2,707,645.35",20489747244,20529286997,,,
HUANUCO,"286,387.81",20601740631,20603064101,,,
HUANUCO,"2,637,104.10",20528950494,20602172571,,,
HUANUCO,"21,165,527.97",20227233321,20573333081,20489747244,20605409041,20489530261
HUANUCO,"16,049,056.89",20529066521,20489595045,,,
HUANUCO,"1,614,460.94",20602450881,20489747244,,,
HUANUCO,"1,966,607.95",20602500463,20393353105,,,
HUANUCO,"2,030,251.66",20489536979,20489530261,,,
HUANUCO,"2,112,559.07",20510591829,20542425904,20489371791,,
HUANUCO,"30,211,736.20",20489595045,20529066521,,,
HUANUCO,"19,824,128.23",20489747244,20393081776,20393155648,20393353105,
HUANUCO,"27,495,616.07",20482471995,20505096721,20600683650,,
HUANUCO,"46,614,701.82",20495675611,20489595045,,,
HUANUCO,"13,566,970.84",20510591829,20489371791,20542425904,,
HUANUCO,"2,660,283.70",20455023417,20604155755,20604347778,,
HUANUCO,"1,789,435.89",20489688647,20489660122,,,
HUANUCO,"1,701,582.67",20393353105,20603976275,,,
HUANUCO,"52,246,445.71",20447399840,20489595045,20489432413,20523013603,20528950494
HUANUCO,"22,336,879.09",20489371791,20489536979,20489432413,,
HUANUCO,"23,169,684.08",20489536979,20489747244,,,
HUANUCO,"21,165,527.97",20489371791,20489674000,20528924493,,
HUANUCO,"8,525,424.38",20489371791,20510591829,20542425904,,
HUANUCO,"2,637,104.10",20602172571,20528924493,,,
HUANUCO,"2,264,311.09",20529202998,,,,
HUANUCO,"12,443,908.22",20542531097,20489601541,20489649587,,
ICA,"1,319,007.27",20452808022,,,,
ICA,"16,266,806.72",20503981298,20494633834,20494951020,,
ICA,"30,000,000.00",20504645046,20100136741,,,
ICA,"19,687,765.83",20367759551,20494642582,,,
LA LIBERTAD,"22,060,153.44",20511317038,99000027401,,,
LA LIBERTAD,"4,625,110.06",20481966672,20544771478,,,
LA LIBERTAD,"7,434,046.84",20601114870,20481249172,20481871027,20482259856,
LA LIBERTAD,"3,893,106.22",20482259856,20482843299,,,
LA LIBERTAD,"2,267,252.63",20539979885,20481605491,,,
LA LIBERTAD,"1,410,766.16",20481605491,,,,
LA LIBERTAD,"5,806,578.64",20481966672,20544771478,,,
LA LIBERTAD,"2,866,966.10",20600357710,20560076798,20477378693,,
LA LIBERTAD,"2,946,120.37",20482021442,20481700729,,,
LA LIBERTAD,"2,759,597.35",10266095029,10266854892,20529688017,,
LORETO,"3,592,801.51",20600063074,20103750963,,,
LORETO,"484,363.13",20600006968,20393644509,,,
LORETO,"439,051.53",20451304527,,,,
LORETO,"12,072,349.72",20493874587,20393633990,,,
LORETO,"1,464,811.07",20393633990,20393069644,,,
LORETO,"21,195,090.04",20493560302,20493537742,,,
LORETO,"3,804,017.58",20528162895,20601324491,,,
LORETO,"29,135,572.74",20493537742,20393633990,,,
LORETO,"6,606,444.26",20541181556,20567140220,,,
LORETO,"5,636,724.70",20528350462,20528388869,,,
LORETO,"3,769,271.22",20451289382,20451445937,,,
LORETO,"6,846,009.08",20531302321,,,,
LORETO,"5,479,628.88",20528350462,20528388869,20493537742,,
LORETO,"13,426,252.76",20493537742,20393877431,,,
LORETO,"4,099,681.66",20603875576,20528115897,,,
LORETO,"2,050,875.39",20450223582,20572123228,,,
LORETO,"6,112,702.26",20531302321,,,,
LORETO,"4,418,988.15",20567223605,20103750963,,,
LORETO,"90,257,806.51",20445667618,20445631265,,,
LORETO,"1,232,170.12",20541264338,,,,
LORETO,"8,211,613.01",20528255982,20528452541,,,
LORETO,"3,483,683.20",20528388869,,,,
LORETO,"25,719,895.30",20493537742,20528255982,,,
LORETO,"31,321,183.73",20601229049,,,,
LORETO,"3,791,195.31",20493748018,20567223605,,,
LORETO,"4,677,989.09",20493874587,20601740797,,,
LORETO,"6,358,000.00",20501430669,20501581951,,,
LORETO,"8,694,900.03",20493560302,20493606736,,,
LORETO,"984,862.98",20450446701,20450447774,,,
LORETO,"7,893,883.12",20572288901,20493874587,,,
LORETO,"6,057,887.02",20393758423,20529202998,,,
LORETO,"6,736,358.08",20393418321,,,,
LORETO,"8,812,697.27",20451445937,20351988143,20451289382,,
MOQUEGUA,"644,260.11",20412126913,,,,
MOQUEGUA,"455,933.57",20412126913,,,,
PIURA,"2,943,277.68",20477530665,20526090111,,,
PIURA,"847,146.00",10036836569,20602311857,,,
PIURA,"1,613,362.40",20526238398,20526032854,,,
PIURA,"3,858,132.97",20526479247,20530227406,20530035671,,
PIURA,"57,699,554.95",20601169941,20537169207,,,
PIURA,"1,743,712.16",20603451326,20484044644,,,
PIURA,"1,509,148.00",20526331762,20530045553,20530227406,,
SAN MARTIN,"11,407,962.99",20572141986,20450326713,,,
SAN MARTIN,"771,902.63",20392307045,20600179714,,,
SAN MARTIN,"585,099.53",20450324184,20572131913,,,
SAN MARTIN,"2,565,769.55",10053878488,,,,
SAN MARTIN,"205,068.33",20602246516,20603870973,,,
SAN MARTIN,"224,358.90",20450666735,20490320301,,,
SAN MARTIN,"7,986,673.08",20489532981,20489530261,,,
SAN MARTIN,"8,350,949.79",20494114217,20600407491,20604341150,,
SAN MARTIN,"10,214,788.18",20393513587,20393404532,,,
SAN MARTIN,"2,525,619.75",20450430537,20493908660,,,
SAN MARTIN,"7,358,053.01",20489530261,20529066521,,,
SAN MARTIN,"8,195,269.01",20494079713,20450326713,,,
SAN MARTIN,"5,413,689.20",20562885031,20378808767,,,
SAN MARTIN,"142,783.50",20601139457,20450157008,,,
TACNA,"11,518,700.19",20133176404,,,,
TACNA,"32,022,723.95",20601229049,,,,
TACNA,"84,978,634.38",20601771641,20489532981,,,
TACNA,"15,607,325.74",20521378531,20489532981,20448161723,,
TACNA,"6,675,032.27",20448562396,20452440912,,,
TACNA,"11,573,675.39",20191808241,,,,
TACNA,"8,783,808.91",20191808241,20498670777,,,
TACNA,"6,775,020.26",20601771641,20491305542,,,
TACNA,"109,062,612.01",20447926645,20533979727,,,
UCAYALI,"3,890,919.54",20393281279,20393598710,,,
UCAYALI,"4,385,828.94",20603064101,20489532981,,,
UCAYALI,"654,089.99",20393155648,20393722747,,,
UCAYALI,"32,837,882.03",20393252848,20352374963,,,
